
 S_max   P_max  K01    mu1    mu2    mu3    mu4 
-7.6234 0.0087 0.8632 0.0100 0.0600 0.1100 0.9667 
-8.8382 0.0310 0.9869 0.0100 0.0600 0.1100 1.0333 
-3.4319 0.0035 0.4435 0.0100 0.0600 0.1100 1.1000 
+0.0038 0.0038 0.0498 0.0100 0.0600 0.1100 1.1667 
-8.9320 0.0041 0.9936 0.0100 0.0600 0.1100 1.2333 
-0.2532 0.0044 0.1258 0.0100 0.0600 0.1100 1.3000 
-1.6798 0.0047 0.2685 0.0100 0.0600 0.1100 1.3667 
-6.9327 0.0051 0.7938 0.0100 0.0600 0.1100 1.4333 
+0.0054 0.0054 0.0935 0.0100 0.0600 0.1100 1.5000 
-8.9703 0.0128 0.9983 0.0100 0.0600 0.1200 0.5000 
-8.9629 0.0158 0.9979 0.0100 0.0600 0.1200 0.5667 
-8.9674 0.0181 0.9985 0.0100 0.0600 0.1200 0.6333 
-8.9677 0.0249 0.9993 0.0100 0.0600 0.1200 0.7000 
-0.6849 0.0024 0.1687 0.0100 0.0600 0.1200 0.7667 
